"id","signal_timestamp","uuid","major","minor","service_uuid","bluetooth_address","bluetooth_name","beacon_type_code","parser_identifier","tx_power","rssi","running_average_rssi","distance","calculated_distance","beacon_id","device_id"
"6190","2022-04-08 20:40:13.269+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"3A:5D:EB:79:02:98",NULL,1275068949,NULL,-45,-86,"-94.125","71.485382007357",NULL,NULL,"1"
"6191","2022-04-08 20:40:13.777+00","50765cb7-d9ea-4e21-99a4-fa879613a492","28841","30110",-1,"E8:6F:38:0C:C9:9A",NULL,1275068949,NULL,-50,-98,"-98","45.70308117629712",NULL,NULL,"1"
"6192","2022-04-08 20:40:13.777+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"30:D4:A9:4C:D3:9E",NULL,1275068949,NULL,-45,-96,"-94.04166666666667","71.05020222880901",NULL,NULL,"1"
"6193","2022-04-08 20:40:14.288+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"22:C5:D0:6D:7B:63",NULL,1275068949,NULL,-45,-96,"-94.36","72.72499710120559",NULL,NULL,"1"
"6194","2022-04-08 20:40:14.799+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"3A:5D:EB:79:02:98",NULL,1275068949,NULL,-45,-98,"-94.5","73.47226926671688",NULL,NULL,"1"
"6195","2022-04-08 20:40:14.799+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","39689","45855",-1,"D7:08:BA:E2:C1:66","UG106",1275068949,NULL,-72,-90,"-88","2.246969226666544",NULL,NULL,"1"
"6196","2022-04-08 20:40:15.309+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","46304","52391",-1,"E5:39:83:B0:DB:6A","UG191",1275068949,NULL,-72,-81,"-85","1.8835567528602395",NULL,NULL,"1"
"6197","2022-04-08 20:40:15.816+00","00112233-4455-6677-8899-aabbccddeeff","0","0",-1,"E3:F0:CC:F2:EA:15",NULL,1275068949,NULL,-63,-102,"-102","12.51903476766024",NULL,NULL,"1"
"6198","2022-04-08 20:40:15.816+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"30:D4:A9:4C:D3:9E",NULL,1275068949,NULL,-45,-97,"-94.17391304347827","71.741883032997",NULL,NULL,"1"
"6199","2022-04-08 20:40:16.831+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"22:C5:D0:6D:7B:63",NULL,1275068949,NULL,-45,-94,"-94.16666666666667","71.70383285469485",NULL,NULL,"1"
"6200","2022-04-08 20:40:16.831+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","39216","8522",-1,"F7:DC:7D:17:04:42","UG101",1275068949,NULL,-72,-93,"-93","3.0412930401524756",NULL,NULL,"1"
"6201","2022-04-08 20:40:17.855+00","50765cb7-d9ea-4e21-99a4-fa879613a492","731","21402",-1,"4C:EB:BD:D9:71:2A",NULL,1275068949,NULL,-50,-94,"-87.25","20.69216238485547",NULL,NULL,"1"
"6202","2022-04-08 20:40:17.855+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","47635","46487",-1,"CF:B9:35:A2:20:B7","UG211",1275068949,NULL,-72,-81,"-81","1.504027136544423",NULL,NULL,"1"
"6203","2022-04-08 20:40:19.382+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"30:D4:A9:4C:D3:9E",NULL,1275068949,NULL,-45,-93,"-93.73913043478261","69.48946391166406",NULL,NULL,"1"
"6204","2022-04-08 20:40:20.396+00","50765cb7-d9ea-4e21-99a4-fa879613a492","731","21402",-1,"4C:EB:BD:D9:71:2A",NULL,1275068949,NULL,-50,-90,"-87.125","20.49252708355803",NULL,NULL,"1"
"6205","2022-04-08 20:40:20.907+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"3A:5D:EB:79:02:98",NULL,1275068949,NULL,-45,-102,"-93.66666666666667","69.120057056475",NULL,NULL,"1"
"6206","2022-04-08 20:40:21.929+00","00112233-4455-6677-8899-aabbccddeeff","0","0",-1,"E3:F0:CC:F2:EA:15",NULL,1275068949,NULL,-63,-89,"-102","12.51903476766024",NULL,NULL,"1"
"6207","2022-04-08 20:40:21.929+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","47635","46487",-1,"CF:B9:35:A2:20:B7","UG211",1275068949,NULL,-72,-79,"-80","1.4251347349830221",NULL,NULL,"1"
"6208","2022-04-08 20:40:22.445+00","63617065-7277-6869-7465-626561636f6e","488","12565",-1,"A4:60:11:87:49:0E",NULL,1275068949,NULL,-59,-101,"-101","18.1802978362644",NULL,NULL,"1"
"6209","2022-04-08 20:40:22.445+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"22:C5:D0:6D:7B:63",NULL,1275068949,NULL,-45,-91,"-93.16666666666667","66.61702364753741",NULL,NULL,"1"
"6210","2022-04-08 20:40:22.956+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","46304","52391",-1,"E5:39:83:B0:DB:6A","UG191",1275068949,NULL,-72,-80,"-81","1.504027136544423",NULL,NULL,"1"
"6211","2022-04-08 20:40:22.956+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"30:D4:A9:4C:D3:9E",NULL,1275068949,NULL,-45,-91,"-93.03846153846153","65.9879694082944",NULL,NULL,"1"
"6212","2022-04-08 20:40:23.467+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"30:D4:A9:4C:D3:9E",NULL,1275068949,NULL,-45,-96,"-93.14814814814815","66.52584165968075",NULL,NULL,"1"
"6213","2022-04-08 20:40:23.976+00","50765cb7-d9ea-4e21-99a4-fa879613a492","26638","39736",-1,"4C:EB:BD:D9:D1:48",NULL,1275068949,NULL,-50,-94,"-94","34.35243022957075",NULL,NULL,"1"
"6214","2022-04-08 20:40:23.976+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","33374","44935",-1,"DF:E9:1D:A5:58:AC","ZwiGe25",1275068949,NULL,-72,-88,"-88","2.246969226666544",NULL,NULL,"1"
"6215","2022-04-08 20:40:23.976+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"22:C5:D0:6D:7B:63",NULL,1275068949,NULL,-45,-92,"-93.03703703703704","65.98100882323078",NULL,NULL,"1"
"6216","2022-04-08 20:40:24.49+00","00112233-4455-6677-8899-aabbccddeeff","0","0",-1,"E3:F0:CC:F2:EA:15",NULL,1275068949,NULL,-63,-87,"-95.5","8.124924625729108",NULL,NULL,"1"
"6217","2022-04-08 20:40:25.003+00","50765cb7-d9ea-4e21-99a4-fa879613a492","731","21402",-1,"4C:EB:BD:D9:71:2A",NULL,1275068949,NULL,-50,-90,"-88.66666666666667","23.07705214229647",NULL,NULL,"1"
"6218","2022-04-08 20:40:25.515+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","44026","12256",-1,"C7:50:C8:0C:B3:51","UG162",1275068949,NULL,-72,-93,"-93","3.0412930401524756",NULL,NULL,"1"
"6219","2022-04-08 20:40:25.515+00","50765cb7-d9ea-4e21-99a4-fa879613a492","731","21402",-1,"4C:EB:BD:D9:71:2A",NULL,1275068949,NULL,-50,-87,"-88.83333333333333","23.372892527591116",NULL,NULL,"1"
"6220","2022-04-08 20:40:25.515+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","47635","46487",-1,"CF:B9:35:A2:20:B7","UG211",1275068949,NULL,-72,-86,"-81.66666666666667","1.5599383999362781",NULL,NULL,"1"
"6221","2022-04-08 20:40:26.028+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","45268","15745",-1,"E0:FC:AB:B9:53:3D","UG176",1275068949,NULL,-72,-84,"-84","1.7782905478357034",NULL,NULL,"1"
"6222","2022-04-08 20:40:26.544+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"22:C5:D0:6D:7B:63",NULL,1275068949,NULL,-45,-96,"-93.46153846153847","68.08352490549096",NULL,NULL,"1"
"6223","2022-04-08 20:40:27.566+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"24:28:E7:36:6D:B4",NULL,1275068949,NULL,-45,-99,"-93.96","70.62594546225796",NULL,NULL,"1"
"6224","2022-04-08 20:40:28.079+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","47635","46487",-1,"CF:B9:35:A2:20:B7","UG211",1275068949,NULL,-72,-90,"-82","1.5889300490404483",NULL,NULL,"1"
"6225","2022-04-08 20:40:28.592+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"30:D4:A9:4C:D3:9E",NULL,1275068949,NULL,-45,-96,"-93.92","70.41894492198685",NULL,NULL,"1"
"6226","2022-04-08 20:40:29.102+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","47635","46487",-1,"CF:B9:35:A2:20:B7","UG211",1275068949,NULL,-72,-97,"-84","1.7782905478357034",NULL,NULL,"1"
"6227","2022-04-08 20:40:29.607+00","50765cb7-d9ea-4e21-99a4-fa879613a492","30149","47893",-1,"4C:EB:BD:D9:D1:58",NULL,1275068949,NULL,-50,-97,"-98","45.70308117629712",NULL,NULL,"1"
"6228","2022-04-08 20:40:29.607+00","50765cb7-d9ea-4e21-99a4-fa879613a492","731","21402",-1,"4C:EB:BD:D9:71:2A",NULL,1275068949,NULL,-50,-88,"-87.66666666666667","21.370019761354037",NULL,NULL,"1"
"6229","2022-04-08 20:40:29.607+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"30:D4:A9:4C:D3:9E",NULL,1275068949,NULL,-45,-101,"-94.12","71.45920652954939",NULL,NULL,"1"
